case_name,case_label,endpoint_contact_enabled,rod_friction_enabled,max_tip_error_mm,mean_tip_error_mm,max_drive_force_N,max_force_utilization,force_saturation_fraction,max_qdot_norm,max_qddot_norm,max_contact_force_N,max_normal_force_N,max_contact_penetration_mm,contact_duty_fraction,contact_work_J,max_rod_friction_N,max_rod_normal_N,max_slip_speed_mm_s,rod_friction_work_J,NShape,CommandDt_s,MaxStep_s
dynamic_only,dynamic only,0,0,0.0561147531367302,0.0272989373712696,28.8929959371871,0.160516644095484,0,7.11297072418767,9.8346673921284,0,0,0,0,0,0,0,0,0,31,0.08,0.04
rod_friction_only,dynamic + rod friction,0,1,0.0561254950712371,0.0272984272213309,28.8950393892154,0.160527996606752,0,7.14461720240073,9.87265465789891,0,0,0,0,0,0.0654375476265583,12.6265603509712,0.0151161361028191,4.72095654715253e-05,31,0.08,0.04
endpoint_contact_only,dynamic + endpoint contact,1,0,0.804131286726871,0.22309719859038,167.077420770336,0.928207893168535,0,7.0875577341662,45.5238304824381,29.3095949145261,29.1370940452189,3.88494755307744,0.482300884955752,-0.0440372932100314,0,0,0,0,31,0.08,0.04
integrated,dynamic + rod friction + endpoint contact,1,1,0.80392873543453,0.223051271857622,167.052764342913,0.928070913016184,0,7.10414594028185,28.0740587874338,29.3087396105869,29.1381141311052,3.88508311941867,0.482300884955752,-0.044552296974319,0.452402889234179,53.5570524870847,0.144179099810113,0.000539707274569252,31,0.08,0.04
