component,work_J,max_power_W,min_power_W
normal,-0.000677601731009487,0.021688449609443,-0.0226243739568775
tangential,-0.02504977402893,0,-0.00784854597660559
total,-0.0257273757599395,0.0183136487189533,-0.0237759290876079
