drive_id,disk_id,max_normal_N,mean_normal_N,max_penetration_mm
1,1,4.84760237044585,0.833000285021717,0.0403966864203821
1,2,12.1552047408917,3.0533954781687,0.101293372840764
1,3,19.4628071113376,5.50176567055819,0.162190059261146
1,4,20,7.51850885926829,0.223086745681528
1,5,20,9.25962839045359,0.283983432101911
1,6,20,10.6686736595798,0.344880118522293
2,1,7.22548819115277,1.9762288176147,0.0602124015929398
2,2,15.1109763823056,4.26786017836496,0.12592480318588
2,3,20,6.35508042006515,0.191637204778819
2,4,20,7.46395500943012,0.257349606371759
2,5,20,7.95942086321036,0.323062007964699
2,6,20,8.23481528285305,0.388774409557639
3,1,10.5157334403831,8.26577128176496,0.0876311120031921
3,2,16.2914668807661,11.7915425635299,0.135762224006384
3,3,20,14.9893421750836,0.183893336009576
3,4,20,16.2139481711782,0.232024448012768
3,5,20,16.7597222640672,0.280155560015961
3,6,20,17.198707149014,0.328286672019153
4,1,4.1117252080433,1.23381927661763,0.0342643767336942
4,2,10.6834504160866,4.17975154471978,0.0890287534673883
4,3,17.2551756241299,7.217984977814,0.143793130201082
4,4,20,9.90112275956453,0.198557506934777
4,5,20,11.5872862124364,0.253321883668471
4,6,20,12.8003186481795,0.308086260402165
5,1,5.23271358693042,2.05852241650041,0.0436059465577535
5,2,11.1254271738608,4.66630607793232,0.092711893115507
5,3,17.0181407607913,7.29084726256107,0.14181783967326
5,4,20,9.67666988655022,0.190923786231014
5,5,20,11.1252071497481,0.240029732788767
5,6,20,12.1392739538414,0.289135679346521
6,1,7.43562663447908,1.84380584496466,0.0619635552873257
6,2,15.5312532689582,4.16493641949895,0.129427110574651
6,3,20,6.25176706600701,0.196890665861977
6,4,20,7.64826680361167,0.264354221149303
6,5,20,8.70375194079432,0.331817776436628
6,6,20,9.53208923228761,0.399281331723954
7,1,4.24253283804522,1.34876664289306,0.0353544403170435
7,2,10.9450656760904,4.15823746442023,0.091208880634087
7,3,17.6475985141357,7.1850505528635,0.14706332095113
7,4,20,9.57058025788159,0.202917761268174
7,5,20,10.6629592639074,0.258772201585217
7,6,20,11.5661752779384,0.314626641902261
8,1,5.02535135610058,2.90361467290632,0.0418779279675048
8,2,10.7107027122012,6.40508000190873,0.0892558559350097
8,3,16.3960540683017,9.91098879201771,0.136633783902515
8,4,20,13.1023992954951,0.184011711870019
8,5,20,14.6030396767653,0.231389639837524
8,6,20,15.5683520411486,0.278767567805029
9,1,11.3837413550444,7.57102032616565,0.0948645112920367
9,2,18.0274827100888,10.4020406523313,0.150229022584073
9,3,20,12.7274855476609,0.20559353387611
9,4,20,14.1762686203055,0.260958045168147
9,5,20,15.2901715948306,0.316322556460183
9,6,20,15.9835667415345,0.37168706775222
