time_s,target_x_mm,target_y_mm,target_z_mm,drive_length_command_01_m,drive_length_command_02_m,drive_length_command_03_m,drive_length_command_04_m,drive_length_command_05_m,drive_length_command_06_m,drive_length_command_07_m,drive_length_command_08_m,drive_length_command_09_m,estimated_drive_force_01_N,estimated_drive_force_02_N,estimated_drive_force_03_N,estimated_drive_force_04_N,estimated_drive_force_05_N,estimated_drive_force_06_N,estimated_drive_force_07_N,estimated_drive_force_08_N,estimated_drive_force_09_N
0,87.789137335188,-2.8284550583983,-6.2373454145511,-0.000582774373310668,0.000262529092019813,-0.00062911634226959,0.00184791256104777,0.000212299127067425,0.000214091416586744,-0.00126513818773709,-0.000474828219087238,0.000415024925682846,-12.5203970641954,17.1738487871802,-82.1282821953901,33.4192445307835,-4.44509327477589,26.1183473196835,-20.8988474665881,-12.7287555124043,56.0099348757066
0.025,87.814834395769,-2.74762722220033,-6.2384491716867,-0.000575573602040108,0.000265023244298758,-0.000623048955120716,0.00183708073686525,0.000207311975501959,0.000210552529796581,-0.00126150713482512,-0.000472335219800724,0.000412496425324135,-12.4606825950447,17.1243737054095,-81.4815229162555,33.2527063779198,-4.56164890209614,25.9205078891013,-20.792023782875,-12.5627248033134,55.5610150271541
0.05,87.8404185261712,-2.66673633787139,-6.24001774180093,-0.000568359250297926,0.000267525702297704,-0.000616920704975561,0.00182620300303279,0.000202332106714526,0.00020699924494811,-0.00125784375273487,-0.000469857809012222,0.000409921460027451,-12.400597429683,17.0744455856483,-80.8292765726933,33.0847427038083,-4.67824965513727,25.7213605612434,-20.6841452741252,-12.3961959305111,55.1079160114498
0.075,87.8658856836825,-2.58580707754719,-6.24205093378635,-0.000561132944974216,0.000270035362676849,-0.000610731740247943,0.00181528017103265,0.000197360896216144,0.000203432266097328,-0.00125414722605843,-0.000467396258892999,0.000407299474150614,-12.3401456517285,17.0240462674192,-80.1715487436106,32.9153552499203,-4.79487082035176,25.5209198063978,-20.5752095981917,-12.2291754470675,54.6506289372128
0.1,87.8912319116224,-2.50486417604036,-6.24454850031533,-0.000553896312058696,0.000272551119805828,-0.00060448221245157,0.00180431305967291,0.000192399716242797,0.00019985229856586,-0.0012504167476142,-0.000464950836048618,0.000404629913885707,-12.2793313595491,16.9731573771807,-79.5083451049035,32.7445460600848,-4.91148791872675,25.3192002039216,-20.4652147005357,-12.061669458454,54.1891449009819
0.125,87.9164533398408,-2.42393242328142,-6.24751013809824,-0.000546650976167101,0.000275071866137983,-0.000598172276290932,0.00179330249503483,0.000187449935321854,0.000196260048789979,-0.00124665151886773,-0.00046252180145983,0.000401912227500953,-12.2181586661435,16.9217603377545,-78.8396714427768,32.572317484224,-5.02807671520493,25.1162164456043,-20.3541588180806,-11.8936836225496,53.7234549971725
0.15,87.9415461851045,-2.343036656704,-6.25093548817943,-0.000539398560069321,0.000277596492587857,-0.000591802089754095,0.00178224931041492,0.000182512917841271,0.00019265622416945,-0.00124285075034559,-0.000460109410429121,0.000399145865584646,-12.1566316990388,16.869836378106,-78.1655336674765,32.398672181832,-5.1446132278334,24.9119833390594,-20.2420404827933,-11.7252231502726,53.2535503284171
0.175,87.9665067513703,-2.262201753577,-6.25482413627013,-0.000532140684219334,0.000280123888911257,-0.000585371814207321,0.00177115434626143,0.000177590023621776,0.000189041532916212,-0.00123901366204211,-0.000457713912533041,0.000396330281291112,-12.0947546002034,16.8173665434763,-77.4859378274292,32.223613125195,-5.26107373663556,24.7065158111418,-20.1288585249916,-11.5562928068407,52.7794220162874
0.2,87.9913314299455,-2.18145262328578,-6.25917561311762,-0.000524878966286974,0.000282652944088135,-0.000578881614491534,0.00176001845010579,0.000172682607492092,0.00018541668390298,-0.0012351394838188,-0.000455335551580227,0.000393464930588557,-12.0325315259755,16.7643317058592,-76.8008901237821,32.0471436023511,-5.37743479220164,24.4998289113832,-20.0146120763756,-11.3868969136575,52.3010612123989
0.225,88.0160166995356,-2.10081419956479,-6.26398939491009,-0.000517615020691753,0.000285182546707952,-0.000572331659020514,0.00174884247648818,0.000167792018867331,0.000181782386511696,-0.00123122745579644,-0.00045297456557529,0.000390549272508822,-11.9699666470076,16.710712574819,-76.1103969253376,31.8692672197902,-5.49367322399361,24.2919378154445,-19.8993005727826,-11.2170393508254,51.8184591098931
