rank_by_time_after_top_error_filter,time_s,target_error_mm,dynamic_quasi_delta_mm,max_force_N,max_force_rate_N_per_s,qdot_norm,qddot_norm
1,0.0233333333333333,0.629464765815715,0.639785544547016,11.290093162971,491.961538684811,23.914409801723,667.53884603878
2,0.07,0.567471112475004,0.559407427552175,28.1708436229776,499.936371001467,20.7126368608794,1601.40135790691
3,0.116666666666667,0.591950553840841,0.598520545335204,49.7362508844965,478.718875689579,21.0383738673193,1679.61609862888
4,0.163333333333333,0.344652752961156,0.34089514559789,59.6089331792051,412.505901736478,26.4627611447208,1602.95345237065
5,0.21,0.381998181440363,0.384353092669397,55.7986194930567,242.96519946663,16.7014840037643,920.004317057464
6,0.28,0.416476800257901,0.415485812350369,47.493323948047,249.687542860589,14.0448098084855,970.489016704614
7,0.35,0.356798120452083,0.353346532726611,58.3352543873381,207.873445275785,14.5568640601582,880.301259103645
8,28.0888888888889,0.439236577008707,0.42692985362113,24.5800522035714,500.000198148683,4.94364753581332,133.982631494024
9,28.1111111111111,0.46906268019391,0.456780907615088,28.0749590130789,499.999907943694,3.11549864511257,136.589207601634
10,28.1333333333333,0.441076428048055,0.42880567520992,28.4851826169498,499.99950787452,1.62385021496098,143.302233125747
11,28.1555555555556,0.410638378490618,0.398421332203289,38.4898281067044,499.993782448844,3.67532182886834,120.40580139049
12,28.1777777777778,0.342528171868594,0.330266692909287,49.6006764463154,499.708479713918,6.14268512196285,118.855673745507
