time_s,target_error_mm,dynamic_quasi_delta_mm,qdot_norm,qddot_norm,max_force_N,max_force_rate_N_per_s,command_power_proxy_W,robot_drive_power_proxy_W,kinetic_energy_J,elastic_energy_J,drive_energy_J,total_energy_J,damping_power_W
0,0,0.0128830302634002,0,1024.9032772167,0.00146796854599146,483.924048493584,4.97439358687328e-06,1.45851388860902e-05,0,0.0329780988663347,0,0.0329780988663347,0
0.0233333333333333,0.629464765815715,0.639785544547016,23.914409801723,667.53884603878,11.290093162971,491.961538684811,-0.0219053266939698,-0.040415743315056,6.7930239789566e-06,0.0275760881991359,0.0364070988494134,0.0639899800725282,0.0611567048118962
0.0466666666666667,0.170802838335852,0.178066685476299,31.1518128151431,571.602255102207,22.9567371700785,460.53964981823,-0.0317519666206906,0.128462298016486,7.13839309308652e-05,0.0278123930185773,0.00814784011772959,0.0360316170672377,0.130302697374535
0.07,0.567471112475004,0.559407427552175,20.7126368608794,1601.40135790691,28.1708436229776,499.936371001467,0.00938079706777123,0.0428393992168362,2.0711142008977e-05,0.0289139521753548,0.0194113244969789,0.0483459878143427,0.106653880684894
0.0933333333333333,0.227919115214396,0.222926753244295,50.3250485088639,355.970123511254,38.5344235541846,462.115869889691,0.0530750656077377,0.0584508785567275,4.30183599504535e-05,0.0254979169105505,0.00573366104435197,0.0312745963148529,0.266775607812068
0.116666666666667,0.591950553840841,0.598520545335204,21.0383738673193,1679.61609862888,49.7362508844965,478.718875689579,0.0527971731421247,0.0695423111768893,6.19916283919706e-06,0.0216923328966203,0.0172874313142057,0.0389859633736652,0.15556671181668
0.14,0.188362807457816,0.193239133508842,35.0808315387362,329.307401699598,60.2272864937152,271.799766155582,0.0448612440551286,0.183027356263541,9.57102708387623e-05,0.0215457220708391,0.00253992086098374,0.0241813532026616,0.237360542792888
0.163333333333333,0.344652752961156,0.34089514559789,26.4627611447208,1602.95345237065,59.6089331792051,412.505901736478,0.074726291498408,0.0862772343729018,1.47987685117615e-05,0.0213224087635155,0.0146548262064967,0.035992033738524,0.189294310572757
0.186666666666667,0.258680040940445,0.261748298303654,48.663831546365,630.042548726011,55.1101862166478,254.012804248576,0.0865042281119807,0.0919775236617993,3.11125289437369e-05,0.0173034173458912,0.00282371014744597,0.0201582400222809,0.260095065064862
0.21,0.381998181440363,0.384353092669397,16.7014840037643,920.004317057464,55.7986194930567,242.96519946663,0.0496948794393963,0.100814661961004,3.88370290061661e-05,0.015686894740492,0.00669313744086692,0.0224188692103651,0.126670810387185
0.233333333333333,0.30602296531173,0.30501657107283,15.9568268233227,1181.21617727966,48.8795100336443,311.335048543225,0.0476948800110191,0.0654493440859943,2.32377221149948e-05,0.0163842131558802,0.00721572919346932,0.0236231800714645,0.104534770508493
0.256666666666667,0.0417815867598253,0.0429003282435717,47.7101520067567,197.543436515673,41.2696505610395,29.703987548513,0.0639087151199632,0.057689760810567,4.00453028411418e-05,0.0143137509427051,0.000605511362998386,0.0149593076085447,0.20745132641277
