stage,label,mode,gain,over_transfer_weight,recipient_final_weight,max_bias_m,no_increase_weight,duration_s,mean_error_mm,max_error_mm,focus_share,d3_share,d9_share,recipient_share,drive6_share,force_saturation_fraction,force_rate_utilization,near_rate_limit_fraction,max_qddot_norm,endpoint_jerk_norm,redistribution_leakage_Nm,redistribution_bias_um,max_contact_friction_N,max_force_N,max_force_rate_N_per_s,constraint_failures,output_dir,result_file,selection_role
scan,balanced,weighted_nullspace,0.6,3,0.12,4e-05,3,20,0.206022133928097,0.67874138604175,0.6269361779055,0.420575464420436,0.206360713485063,0.0894845778189536,0.0178916581224727,0.109034267912773,1.00000238659706,0.0529595015576324,20103.0151729868,281818.103655016,2.74722161872588e-18,12.3716443284863,11.4954888183597,180,500.001193298532,2,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\scan\balanced,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\scan\balanced\three_section_dynamic_hard_replay_result.mat,lowest_d3d9_share
scan,conservative,weighted_nullspace,0.3,2,0.15,2e-05,2,20,0.197071013289767,0.648340377371202,0.645784343262715,0.389276638414688,0.256507704848027,0.0819793983251848,0.0123234662532262,0.0529595015576324,1.00000238622734,0.0467289719626168,20103.0151729608,281818.103655016,7.63821345887748e-19,4.5873575394002,10.0958063162302,180,500.001193113671,2,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\scan\conservative,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\scan\conservative\three_section_dynamic_hard_replay_result.mat,lowest_tracking_error
scan,low_error_guard,weighted_nullspace,0.45,4,0.12,3e-05,5,20,0.203019961938636,0.648340458938417,0.628001132657941,0.410111524526895,0.217889608131046,0.0877093589638,0.0153748030500082,0.0934579439252336,1.00000238656203,0.0529595015576324,20103.0151728245,281818.103655016,1.91301033482259e-18,10.2646531698419,10.7920216754861,180,500.001193281015,2,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\scan\low_error_guard,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\scan\low_error_guard\three_section_dynamic_hard_replay_result.mat,balanced_pareto
