stage,label,mode,gain,over_transfer_weight,recipient_final_weight,max_bias_m,no_increase_weight,duration_s,mean_error_mm,max_error_mm,focus_share,d3_share,d9_share,recipient_share,drive6_share,force_saturation_fraction,force_rate_utilization,near_rate_limit_fraction,max_qddot_norm,endpoint_jerk_norm,redistribution_leakage_Nm,redistribution_bias_um,max_contact_friction_N,max_force_N,max_force_rate_N_per_s,constraint_failures,output_dir,result_file,selection_role
high_order,fixed_source,none,0,0,0,0,0,20,0.143981956143079,0.634315595131358,0.86007193535576,0.518106197950871,0.341965737404889,0.0809662181983779,0.0198261285348589,0.0323275862068966,1.00000701847871,0.0269396551724138,21489.3939713231,464757.780446115,0,0,9.17638706598603,180,500.003509239357,0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\high_order\fixed_source_high_order,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\high_order\fixed_source_high_order\three_section_dynamic_hard_replay_result.mat,fixed_source
high_order,balanced,weighted_nullspace,0.6,3,0.12,4e-05,3,20,0.175250023065658,0.634316928676026,0.901942669548761,0.699130167805524,0.202812501743237,0.0592831676817494,0.0194207192972806,0.195043103448276,1.00000222172429,0.0538793103448276,21489.3767625873,464757.780446115,4.80025212790624e-18,19.0629474011692,12,180,500.001110862143,0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\high_order\lowest_d3d9_share_balanced,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\high_order\lowest_d3d9_share_balanced\three_section_dynamic_hard_replay_result.mat,lowest_d3d9_share
high_order,conservative,weighted_nullspace,0.3,2,0.15,2e-05,2,20,0.150751212633509,0.634315756031254,0.886831230303247,0.622749308966701,0.264081921336546,0.0650032367911113,0.0154014399154237,0.114224137931034,1.00000095248098,0.0323275862068966,21489.3659558968,464757.780446115,1.90088460524722e-18,6.96640864698256,12,180,500.00047624049,0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\high_order\lowest_tracking_error_conservative,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\high_order\lowest_tracking_error_conservative\three_section_dynamic_hard_replay_result.mat,lowest_tracking_error
high_order,low_error_guard,weighted_nullspace,0.45,4,0.12,3e-05,5,20,0.167810003306915,0.634315782984554,0.900338574981614,0.685886649057551,0.214451925924063,0.0588278885252222,0.0169461636095538,0.178879310344828,1.00000095183778,0.0517241379310345,21489.3659544193,464757.780446115,4.77350734004636e-18,15.8799531526227,12,180,500.000475918889,0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\high_order\balanced_pareto_low_error_guard,D:\RodDrindcontinuum\src\3sec\outputs\three_section_weighted_redistribution_pareto_formal\high_order\balanced_pareto_low_error_guard\three_section_dynamic_hard_replay_result.mat,balanced_pareto
