sample_index,time_s,qdot_norm,geometric_force_norm,qdot_h_power,half_qdot_Mdot_qdot,identity_error,missing_power_without_C
2,0.0233333333333333,35.8551043242431,2.59735367693656e-07,-4.69539840649264e-06,-4.69539840649264e-06,8.470329472543e-22,4.69539840649264e-06
316,7.35,28.7835214796981,2.70615246738478e-07,8.56592961895e-07,8.56592961894999e-07,8.470329472543e-22,8.56592961894999e-07
630,14.9666666666667,0,0,0,0,0,0
