case_id,case_label,mode,duration_s,command_samples,output_samples,path_span_mm,command_range_mm,mean_error_mm,max_error_mm,max_force_N,force_saturation_fraction,force_rate_utilization,near_rate_limit_fraction,max_qdot_norm,max_qddot_norm,final_qdot_norm,wall_time_s
trefoil,Trefoil,duration-normalized,20,23,23,21.6396300785571,64.8178983454908,0.711776010306171,0.891221252227546,157.970938813725,0,0.244787238305243,0,59.1929053111443,158.753551529339,46.6209471192129,225.0139763
double_ellipse,Double ellipse,duration-normalized,20,33,33,16.1249024412223,64.1216821340411,0.7326119522989,0.987421772114692,118.247008579791,0,0.164862569980186,0,57.8801134000597,72.6360544755292,48.2801399175633,208.7876798
complex_optimized,Complex-q,duration-normalized,20,13,13,48.4486080857213,64.6909076619748,0.639742414634719,0.933726785853855,157.745309008941,0,0.100227897468606,0,68.464279921918,39.9374966211188,48.6786188205761,141.7635674
amplified_double_ellipse,Amplified ellipse,duration-normalized,20,33,33,18.5461476988851,64.5160286011685,0.716303113126352,0.972243468158898,132.390327601228,0,0.160910781209307,0,50.847204933864,77.4190128099825,47.8163427613153,153.9522378
