family,case_name,result_file,duration_s,mean_error_mm,max_error_mm,force_saturation_fraction,force_rate_utilization,near_rate_limit_fraction,max_qddot_norm,endpoint_jerk_norm,constraint_failures,pareto_optimal
endpoint_shape,c2_q7000_j3e6,D:\RodDrindcontinuum\src\3sec\outputs\three_section_dynamic_endpoint_shape_constraints\T20p0s_c2_q7000_j3e6\three_section_dynamic_hard_replay_result.mat,20,0.143927933053078,0.630164859938559,0.013903743315508,1.00000164950163,0.027807486631016,22112.8958101129,2253721.08370925,0,1
endpoint_shape,c2_q5000_j2e6,D:\RodDrindcontinuum\src\3sec\outputs\three_section_dynamic_endpoint_shape_constraints\T20p0s_c2_q5000_j2e6\three_section_dynamic_hard_replay_result.mat,20,0.142246007619229,0.703372355974797,0.013903743315508,1.00000748092221,0.0310160427807487,13252.0215856328,981758.64529451,0,1
endpoint_shape,c3_q7000_j3e6,D:\RodDrindcontinuum\src\3sec\outputs\three_section_dynamic_endpoint_shape_constraints\T20p0s_c3_q7000_j3e6\three_section_dynamic_hard_replay_result.mat,20,0.142976371410201,0.668600957860109,0.013903743315508,1.00000330835421,0.0299465240641711,17221.2399311028,2142112.20198963,0,1
constrained_optimizer,T17p0s_velocity_m4_protected_c2_q8500_j4e6,D:\RodDrindcontinuum\src\3sec\outputs\three_section_constrained_command_optimizer\T17p0s_velocity_m4_protected_c2_q8500_j4e6\three_section_dynamic_hard_replay_result.mat,17,0.17079039053077,0.947617163184075,0.0704225352112676,1.00000099068942,0.0563380281690141,28128.4432504092,3301176.27059618,0,1
constrained_optimizer,T18p0s_velocity_m4_protected_c2_q8500_j4e6,D:\RodDrindcontinuum\src\3sec\outputs\three_section_constrained_command_optimizer\T18p0s_velocity_m4_protected_c2_q8500_j4e6\three_section_dynamic_hard_replay_result.mat,18,0.16642317403358,0.764751762960289,0.0729833546734955,1.00000448852778,0.0409731113956466,28128.4113100711,3150072.91031894,0,0
constrained_optimizer,T19p0s_velocity_m4_protected_c2_q8500_j4e6,D:\RodDrindcontinuum\src\3sec\outputs\three_section_constrained_command_optimizer\T19p0s_velocity_m4_protected_c2_q8500_j4e6\three_section_dynamic_hard_replay_result.mat,19,0.155346895697799,0.628715537090207,0.0351288056206089,1.0000009347322,0.0257611241217799,35524.0431703624,3894297.51224405,0,0
constrained_optimizer,T20p0s_velocity_m4_protected_c2_q8500_j4e6,D:\RodDrindcontinuum\src\3sec\outputs\three_section_constrained_command_optimizer\T20p0s_velocity_m4_protected_c2_q8500_j4e6\three_section_dynamic_hard_replay_result.mat,20,0.150167897700451,0.615842274640478,0.0102249488752556,1.00000053040215,0.0245398773006135,35523.9746861771,3512838.20741099,0,1
formal_full,baseline_15s_force_rate500_fmax180,D:\RodDrindcontinuum\src\3sec\outputs\three_section_hard_dynamic_replay_stride1_force_rate500_fmax180_zeta10_full\three_section_dynamic_hard_replay_result.mat,15,0.269398416738569,1.63058016813529,0.131537242472266,1.00000073875401,0.160063391442155,1465.3558007273,307.522541979161,0,1
formal_full,activity_retime_18s,D:\RodDrindcontinuum\src\3sec\outputs\three_section_hard_dynamic_replay_stride1_activity_retime_18s_full\three_section_dynamic_hard_replay_result.mat,18,0.150155705142297,0.615134781519667,0.0443864229765013,1.00000048731832,0.0234986945169713,1557.60695406091,467.695639389629,0,1
formal_full,activity_retime_18s_force_dominant,D:\RodDrindcontinuum\src\3sec\outputs\three_section_hard_dynamic_replay_stride1_activity_retime_18s_force_dominant_full\three_section_dynamic_hard_replay_result.mat,18,0.150854691293932,0.613377190989034,0.0392670157068063,1.00000021740064,0.0261780104712042,1591.28876980865,520.057516754828,0,1
formal_full,activity_retime_20s_velocity_dominant,D:\RodDrindcontinuum\src\3sec\outputs\three_section_hard_dynamic_replay_stride1_activity_retime_20s_velocity_dominant_outdt003_full\three_section_dynamic_hard_replay_result.mat,20,0.135383335019182,0.611574979508725,0.0163576881134133,0.999999976668887,0.019629225736096,1631.20871413631,441.276259213738,0,1
formal_full,endpoint_aware_protected_micro_20s,D:\RodDrindcontinuum\src\3sec\outputs\three_section_hard_dynamic_replay_stride1_endpoint_aware_protected_micro_20s_full\three_section_dynamic_hard_replay_result.mat,20,0.135169635548717,0.615410650111569,0.0173724212812161,0.999999964221148,0.0184581976112921,1560.85885548616,416.330465419097,0,1
formal_full,command_endpoint_blend_c2_20s,D:\RodDrindcontinuum\src\3sec\outputs\three_section_hard_dynamic_replay_stride1_command_endpoint_blend_c2_002_20s_full\three_section_dynamic_hard_replay_result.mat,20,0.135540024757046,0.609358178624008,0.0161812297734628,0.999999976669583,0.0226537216828479,31709.5814037778,862146.780056459,0,1
formal_full,command_endpoint_blend_c2_qddot_jerk_limited_20s,D:\RodDrindcontinuum\src\3sec\outputs\three_section_hard_dynamic_replay_stride1_command_endpoint_blend_c2_q8500_j4e6_20s_full\three_section_dynamic_hard_replay_result.mat,20,0.136942413775598,0.625494536549854,0.0160427807486631,1.00000201921672,0.0267379679144385,28377.5847050166,3415853.84032198,0,0
formal_full,recovered_30s_timescale20,D:\RodDrindcontinuum\src\3sec\outputs\three_section_hard_dynamic_replay_stride1_force_rate500_fmax180_zeta10_timescale20_full\three_section_dynamic_hard_replay_result.mat,30,0.126007888790324,0.629464765815715,0,1.00000039629737,0.0147172734314485,1679.61609862888,43.2257919188983,0,1
