case_id,label,mu,drive_id,active_sections,drive_angle_deg,max_abs_friction_N,mean_abs_friction_N,rms_friction_N,p95_abs_friction_N,abs_friction_impulse_Ns,friction_impulse_share,sliding_dissipation_proxy_J,max_normal_N,mean_normal_N,max_abs_slip_m_per_s,mean_abs_slip_m_per_s,max_wrap_activity
lowest_endpoint_jerk_mu0_08,lowest_endpoint_jerk,0.08,1,1 2 3,0,0.689036518216332,0.0231931813331142,0.0665966925005339,0.102365196262724,0.463701177179671,0.0250399148183877,0.000120806276902699,29.9236618337794,6.0201806095179,0.00316283662237428,3.37803463286697e-05,1.62228666127829
lowest_endpoint_jerk_mu0_08,lowest_endpoint_jerk,0.08,2,1 2,40,0.437612715893125,0.0263433352212196,0.0542710114567285,0.0929620536328852,0.566751396224519,0.03060463803646,3.17817466185392e-05,34.9733017973636,6.00839233450627,0.00137221202008372,2.38320385596779e-05,0.965568330072943
lowest_endpoint_jerk_mu0_08,lowest_endpoint_jerk,0.08,3,1,80,4.13850123629081,0.344207170429288,0.687559068044784,1.58888907297337,7.41712753185977,0.400525706500253,0.00037048569596159,74.4696427540107,17.2946551164708,0.000893644469126241,4.21814731879361e-05,0.463550854888738
lowest_endpoint_jerk_mu0_08,lowest_endpoint_jerk,0.08,4,1 2 3,120,1.0203917245855,0.0949877355024275,0.171462444852769,0.381444578425703,2.0013967375291,0.108075645031433,0.000718350047490446,87.9811448638114,16.4972023340331,0.008861539756105,0.000121888356627823,1.62228666127829
lowest_endpoint_jerk_mu0_08,lowest_endpoint_jerk,0.08,5,1 2,160,0.507381430469259,0.0207121859917004,0.0513551965175677,0.100548074120944,0.440873897044741,0.0238072391681107,5.23158266628419e-05,17.3509613649973,3.98693346907197,0.000744415165160314,1.70725399279297e-05,0.965568330072943
lowest_endpoint_jerk_mu0_08,lowest_endpoint_jerk,0.08,6,1,200,0.4641667099303,0.0198975587646043,0.0473370774986094,0.0902811785389941,0.428350053722687,0.023130950244519,6.69821620685645e-06,19.7365050724218,3.59837728305568,0.00027478198349771,9.54119154844332e-06,0.463550854888738
lowest_endpoint_jerk_mu0_08,lowest_endpoint_jerk,0.08,7,1 2 3,240,1.05098759901021,0.0501557043018707,0.106502547472477,0.214448183324724,1.03419272831697,0.0558465216335191,0.00058406298132533,58.2574935776585,10.9036968283314,0.00569870313373071,0.000107043427159887,1.62228666127829
lowest_endpoint_jerk_mu0_08,lowest_endpoint_jerk,0.08,8,1 2,280,0.777877058675597,0.0593603219231715,0.106788951568201,0.236730244376725,1.26322492426185,0.0682142855283822,0.00011594362148645,39.557960969424,8.20127348618481,0.00204246621070456,3.7641699160493e-05,0.965568330072943
lowest_endpoint_jerk_mu0_08,lowest_endpoint_jerk,0.08,9,1,320,2.56569786187374,0.227095869109776,0.456463602257668,1.01845259541448,4.9028621694241,0.264755099038936,0.00020119034488102,61.8413559282081,14.1630042283725,0.000719729993576139,3.38674662550719e-05,0.463550854888738
lowest_endpoint_jerk_mu0_12,lowest_endpoint_jerk,0.12,1,1 2 3,0,0.980758246099583,0.0340864841949885,0.100047603156225,0.155715003181133,0.672835781190241,0.0246086519014107,0.000193572972878376,29.9464336075741,6.02246489658104,0.00315677242384752,3.61222244593355e-05,1.62218371167085
lowest_endpoint_jerk_mu0_12,lowest_endpoint_jerk,0.12,2,1 2,40,0.606702875364951,0.039030998051787,0.0806833888564776,0.136920948478234,0.839234676828306,0.0306946131627047,4.62267118997824e-05,34.8898679721078,6.01230313462907,0.00126624988944702,2.2914621914581e-05,0.965448333559395
lowest_endpoint_jerk_mu0_12,lowest_endpoint_jerk,0.12,3,1,80,6.24954376441174,0.511671923082835,1.0309056725419,2.36969668719406,11.0323669667443,0.403503627367982,0.000553334360367576,74.6565465053611,17.3230109667478,0.000890806809363221,4.14318419399245e-05,0.46347073079979
lowest_endpoint_jerk_mu0_12,lowest_endpoint_jerk,0.12,4,1 2 3,120,1.51730868216832,0.139228589836543,0.249147790851042,0.529874095166347,2.91657907078017,0.106672506281998,0.00107617848759815,88.1328577770545,16.5083638029845,0.00884736416035614,0.00011688661785215,1.62218371167085
