case_id,label,mu,section_id,drive_id,drive_angle_deg,allocated_friction_impulse_Ns,pair_impulse_share,allocated_dissipation_proxy_J
balanced_pareto_mu0_08,balanced_pareto,0.08,1,5,160,0.20891549822948,0.0109045484445369,1.79210217514782e-05
balanced_pareto_mu0_08,balanced_pareto,0.08,1,6,200,0.445596541749732,0.0232583466397057,6.99761887767404e-06
balanced_pareto_mu0_08,balanced_pareto,0.08,1,7,240,0.20174439863097,0.0105302458981233,7.93410930544718e-05
balanced_pareto_mu0_08,balanced_pareto,0.08,1,8,280,0.572112259848324,0.0298619580935867,4.5993472631581e-05
balanced_pareto_mu0_08,balanced_pareto,0.08,1,9,320,5.13152124318452,0.267844762426437,0.000215624603179906
balanced_pareto_mu0_08,balanced_pareto,0.08,2,1,0,0.157431306501059,0.00821728078087262,6.04436625490145e-05
balanced_pareto_mu0_08,balanced_pareto,0.08,2,2,40,0.355614298434706,0.0185616355785712,2.69744708814405e-05
balanced_pareto_mu0_08,balanced_pareto,0.08,2,4,120,0.672277117385417,0.0350901606477773,0.000278290334963375
balanced_pareto_mu0_08,balanced_pareto,0.08,2,5,160,0.252675910256432,0.0131886658840992,3.67209374878425e-05
balanced_pareto_mu0_08,balanced_pareto,0.08,2,7,240,0.356855398427218,0.0186264160046648,0.000227378251691362
balanced_pareto_mu0_08,balanced_pareto,0.08,2,8,280,0.727154231101868,0.0379545251879326,8.22453342970811e-05
balanced_pareto_mu0_08,balanced_pareto,0.08,3,1,0,0.225267775808049,0.0117580715414119,9.06182857351672e-05
balanced_pareto_mu0_08,balanced_pareto,0.08,3,4,120,0.881845485537782,0.0460287862754931,0.000461012065347774
balanced_pareto_mu0_08,balanced_pareto,0.08,3,7,240,0.47216831547518,0.0246452863177191,0.000368895103012165
balanced_pareto_mu0_12,balanced_pareto,0.12,1,1,0,0.132490350290184,0.00465805806080127,3.16042967792618e-05
balanced_pareto_mu0_12,balanced_pareto,0.12,1,2,40,0.336313384569625,0.0118240103412721,1.39538329085368e-05
balanced_pareto_mu0_12,balanced_pareto,0.12,1,3,80,11.5473410363716,0.405978132577078,0.000586328654012687
balanced_pareto_mu0_12,balanced_pareto,0.12,1,4,120,0.579728444837964,0.0203819278131483,0.000165232470500786
balanced_pareto_mu0_12,balanced_pareto,0.12,1,5,160,0.28210321969417,0.009918104779679,2.4814987155768e-05
balanced_pareto_mu0_12,balanced_pareto,0.12,1,6,200,0.661301601411088,0.0232498536559604,1.01365399258777e-05
balanced_pareto_mu0_12,balanced_pareto,0.12,1,7,240,0.292742439448954,0.0102921554424696,0.000105051828413807
balanced_pareto_mu0_12,balanced_pareto,0.12,1,8,280,0.815196364768954,0.0286604419848775,5.90650186778116e-05
balanced_pareto_mu0_12,balanced_pareto,0.12,1,9,320,7.62651274560406,0.268130766449461,0.000321605778486271
balanced_pareto_mu0_12,balanced_pareto,0.12,2,1,0,0.23944960320941,0.00841850106020809,0.000102051191430478
balanced_pareto_mu0_12,balanced_pareto,0.12,2,2,40,0.527799555100458,0.0185562266741562,3.86405350158265e-05
balanced_pareto_mu0_12,balanced_pareto,0.12,2,4,120,1.01954542532672,0.035844888147662,0.000402107535424131
balanced_pareto_mu0_12,balanced_pareto,0.12,2,5,160,0.366720784501847,0.0128930650614994,5.74889113173364e-05
balanced_pareto_mu0_12,balanced_pareto,0.12,2,7,240,0.535553478921742,0.018828836922974,0.000313931004141908
balanced_pareto_mu0_12,balanced_pareto,0.12,2,8,280,1.07080575667303,0.0376470843008464,0.000120318288426117
balanced_pareto_mu0_12,balanced_pareto,0.12,3,1,0,0.351536596335481,0.0123592236916928,0.000157491776919999
balanced_pareto_mu0_12,balanced_pareto,0.12,3,4,120,1.34557302746619,0.0473072738750997,0.000665487979338899
balanced_pareto_mu0_12,balanced_pareto,0.12,3,7,240,0.712544848370083,0.0250514491611136,0.000507859736208698
